variant,baseline_run,robustness_run,target,seed17_auc,seed23_auc,seed23_minus_seed17_auc
resized,eyepacs_resized_dinov2_resized_10k,eyepacs_resized_dinov2_resized_10k_seed23,any_dr,0.7311056019094127,0.7386319476274936,0.007526345718080973
resized,eyepacs_resized_dinov2_resized_10k,eyepacs_resized_dinov2_resized_10k_seed23,referable_dr,0.8104089099754734,0.8074493557827525,-0.002959554192720981
resized,eyepacs_resized_dinov2_resized_10k,eyepacs_resized_dinov2_resized_10k_seed23,severe_dr,0.8812999239254469,0.9100565014361044,0.02875657751065752
resized,eyepacs_resized_dinov2_resized_10k,eyepacs_resized_dinov2_resized_10k_seed23,sharpness_high_vs_low,0.998384370747699,0.9993541679793334,0.0009697972316343728
resized,eyepacs_resized_dinov2_resized_10k,eyepacs_resized_dinov2_resized_10k_seed23,laterality_right_vs_left,0.880487,0.87106,-0.009427000000000074
cropped,eyepacs_cropped_dinov2_cropped_10k,eyepacs_cropped_dinov2_cropped_10k_seed23,any_dr,0.735939052583749,0.7404205444508658,0.004481491867116771
cropped,eyepacs_cropped_dinov2_cropped_10k,eyepacs_cropped_dinov2_cropped_10k_seed23,referable_dr,0.8082296650717703,0.7953084261335562,-0.012921238938214064
cropped,eyepacs_cropped_dinov2_cropped_10k,eyepacs_cropped_dinov2_cropped_10k_seed23,severe_dr,0.882233025865348,0.906637504635129,0.024404478769781024
cropped,eyepacs_cropped_dinov2_cropped_10k,eyepacs_cropped_dinov2_cropped_10k_seed23,sharpness_high_vs_low,0.998121634922689,0.9992242139751748,0.001102579052485786
cropped,eyepacs_cropped_dinov2_cropped_10k,eyepacs_cropped_dinov2_cropped_10k_seed23,laterality_right_vs_left,0.877405,0.8676419999999999,-0.009763000000000077
resized_residualized,eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality_seed23,any_dr,0.729135771030254,0.7360698698658801,0.0069340988356261235
resized_residualized,eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality_seed23,referable_dr,0.8048860118209964,0.8052160693246171,0.0003300575036206954
resized_residualized,eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality_seed23,severe_dr,0.8692944085203499,0.905305101470043,0.03601069294969306
resized_residualized,eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality_seed23,sharpness_high_vs_low,0.1640216619805575,0.1730672295381513,0.009045567557593781
resized_residualized,eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality_seed23,laterality_right_vs_left,0.275958,0.275261,-0.0006970000000000032
cropped_residualized,eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality_seed23,any_dr,0.7344048813857224,0.7382856872396819,0.003880805853959557
cropped_residualized,eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality_seed23,referable_dr,0.8022950424188814,0.7932256470677663,-0.009069395351115062
cropped_residualized,eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality_seed23,severe_dr,0.871356742107265,0.8983539792974715,0.026997237190206524
cropped_residualized,eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality_seed23,sharpness_high_vs_low,0.1666882345328988,0.1792656417365005,0.012577407203601704
cropped_residualized,eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality_seed23,laterality_right_vs_left,0.268534,0.269543,0.0010089999999999821
